"icao","airport"
"PAWI","Wainwright Airport"
"KAIO","Atlantic Municipal Airport"
"KAIV","George Downer Airport"
"KAIZ","Lee C. Fine Memorial Airport"
"PAGM","Gambell Airport"
"PAAK","Atka Airport"
"KAKR","Akron Fulton International Airport"
"PFAK","Akiak Airport"
"PAKH","Akhiok Airport"
"PAKN","King Salmon Airport"
"","Sharpe Field"
"KAKO","Colorado Plains Regional Airport"
"PAKP","Anaktuvuk Pass Airport"
"KALB","Albany International Airport"
"","Alpine-Casparis Municipal Airport"
"KALI","Alice International Airport"
"PAGA","Edward G. Pitka Sr. Airport"
"KGAI","Montgomery County Airpark"
"KALM","Alamogordo-White Sands Regional Airport"
"KGAG","Gage Airport"
"KALN","St. Louis Regional Airport"
"KALO","Waterloo Regional Airport"
"KALS","San Luis Valley Regional Airport"
"KALW","Walla Walla Regional Airport"
"KGAD","Northeast Alabama Regional Airport"
"KALX","Thomas C. Russell Field"
"KTHA","Tullahoma Regional Airport (William Northern Field)"
"","Alitak Seaplane Base"
"KAMA","Rick Husband Amarillo International Airport"
"KGAB","Gabbs Airport"
"KFYV","Drake Field (Fayetteville Executive Airport)"
"","Animas Air Park"
"KAMN","Gratiot Community Airport"
"KAMW","Ames Municipal Airport"
"KANB","Anniston Regional Airport"
"KTHM","Thompson Falls Airport"
"PANC","Ted Stevens Anchorage International Airport"
"PFYU","Fort Yukon Airport"
"KTHP","Hot Springs County-Thermopolis Municipal Airport"
"KAND","Anderson Regional Airport"
"KFYM","Fayetteville Municipal Airport"
"PANI","Aniak Airport"
"PANT","Annette Island Airport"
"KFXY","Forest City Municipal Airport"
"KTHV","York Airport"
"KANP","Lee Airport"
"PANV","Anvik Airport"
"KANW","Ainsworth Regional Airport"
"KANY","Anthony Municipal Airport"
"KFXE","Fort Lauderdale Executive Airport"
"KAOH","Lima Allen County Airport"
"PAFW","Farewell Airport"
"KNFW","NAS Fort Worth JRB / Carswell Field"
"KAOO","Altoona-Blair County Airport"
"","Amook Bay Seaplane Base"
"KAPA","Centennial Airport"
"KAPC","Napa County Airport"
"KTIK","Tinker Air Force Base"
"KAPF","Naples Municipal Airport"
"KFUL","Fullerton Municipal Airport"
"KAPG","Phillips Army Airfield"
"KAPH","A.P. Hill Army Airfield"
"KAPN","Alpena County Regional Airport"
"KFTY","Fulton County Airport (Charlie Brown Field)"
"KAPT","Marion County Airport (Brown Field)"
"KAPV","Apple Valley Airport"
"KTIW","Tacoma Narrows Airport"
"KTIX","Space Coast Regional Airport"
"","Girdwood Airport"
"KARA","Acadiana Regional Airport"
"KFTW","Fort Worth Meacham International Airport"
"KARB","Ann Arbor Municipal Airport"
"KFTK","Godman Army Airfield"
"PARC","Arctic Village Airport"
"NSFQ","Fitiuta Airport"
"TJAB","Antonio (Nery) Juarbe Pol Airport"
"KARG","Walnut Ridge Regional Airport"
"KFSU","Fort Sumner Municipal Airport"
"KART","Watertown International Airport"
"KFST","Fort Stockton-Pecos County Airport"
"PATK","Talkeetna Airport"
"KARV","Lakeland Airport (Noble F. Lee Memorial Field)"
"KFSM","Fort Smith Regional Airport"
"","Tenakee Seaplane Base"
"KTRK","Truckee Tahoe Airport"
"KFSK","Fort Scott Municipal Airport"
"KASE","Aspen-Pitkin County Airport (Sardy Field)"
"","Tokeen Seaplane Base"
"PFTO","Tok Junction Airport"
"KFSI","Henry Post Army Airfield (Fort Sill)"
"","Taku Lodge Seaplane Base"
"KFSD","Sioux Falls Regional Airport (Joe Foss Field)"
"KASH","Nashua Airport (Boire Field)"
"KASL","Harrison County Airport"
"KASN","Talladega Municipal Airport"
"KIZG","Eastern Slopes Regional Airport"
"","Austin Airport"
"KAST","Astoria Regional Airport"
"KFRR","Front Royal-Warren County Airport"
"KASX","John F. Kennedy Memorial Airport"
"KASY","Ashley Municipal Airport"
"","Antlers Municipal Airport"
"PATQ","Atqasuk Edward Burnell Sr. Memorial Airport"
"PATE","Teller Airport"
"KATL","Hartsfield-Jackson Atlanta International Airport"
"KUNI","Ohio University Airport (Snyder Field)"
"PAFR","Bryant Army Airport"
"KATS","Artesia Municipal Airport"
"","Telida Airport"
"","Atmautluak Airport"
"KTLH","Tallahassee International Airport"
"PATL","Tatalina LRRS Airport"
"PAAT","Casco Cove Coast Guard Station"
"KFRM","Fairmont Municipal Airport"
"KATW","Appleton International Airport"
"KFRI","Marshall Army Airfield"
"KFRG","Republic Airport"
"KTLR","Mefford Field Airport"
"KATY","Watertown Regional Airport"
"","Tuluksak Airport"
"KFHR","Friday Harbor Airport"
"","Perry-Foley Airport"
"KAUG","Augusta State Airport"
"KFPR","St. Lucie County International Airport"
"","Alakanuk Airport"
"KAUM","Austin Municipal Airport"
"KTMA","Henry Tift Myers Airport"
"KTMB","Miami Executive Airport"
"KFOK","Francis S. Gabreski Airport"
"KAUN","Auburn Municipal Airport"
"KFOE","Topeka Regional Airport"
"KAUO","Auburn University Regional Airport"
"KAUS","Austin-Bergstrom International Airport"
"KAUW","Wausau Downtown Airport"
"KFOD","Fort Dodge Regional Airport"
"KARR","Aurora Municipal Airport"
"KAVL","Asheville Regional Airport"
"KFNT","Bishop International Airport"
"PANR","Funter Bay Seaplane Base"
"KAVO","Avon Park Executive Airport"
"KFNL","Northern Colorado Regional Airport"
"KAVP","Wilkes-Barre/Scranton International Airport"
"KAVQ","Marana Regional Airport"
"KAVX","Catalina Airport"
"KAWM","West Memphis Municipal Airport"
"","Maxson Airfield"
"PATC","Tin City LRRS Airport"
"KFMY","Page Field"
"","Florence Municipal Airport"
"KFSW","Fort Madison Municipal Airport"
"KAXA","Algona Municipal Airport"
"KFMN","Four Corners Regional Airport"
"KFMH","Otis Air National Guard Base"
"KFME","Tipton Airport"
"","Tununak Airport"
"KAXN","Alexandria Municipal Airport (Chandler Field)"
"KFLX","Fallon Municipal Airport"
"KMGW","Morgantown Municipal Airport (Walter L. Bill Hart Field)"
"KMGY","Dayton-Wright Brothers Airport"
"KTNP","Twentynine Palms Airport"
"KMFI","Marshfield Municipal Airport"
"","Mesquite Airport"
"KFLV","Sherman Army Airfield"
"KTNT","Dade-Collier Training and Transition Airport"
"KTNU","Newton Municipal Airport"
"KMHE","Mitchell Municipal Airport"
"","Flat Airport"
"KMFE","McAllen Miller International Airport"
"KMFD","Mansfield Lahm Regional Airport"
"KTOA","Zamperini Field"
"KMHK","Manhattan Regional Airport"
"KTOC","Toccoa Airport (R.G. LeTourneau Field)"
"KMHL","Marshall Memorial Municipal Airport"
"KMHN","Hooker County Airport"
"KMHR","Sacramento Mather Airport"
"PATG","Togiak Airport"
"KTOI","Troy Municipal Airport"
"KFLP","Marion County Regional Airport"
"KTOL","Toledo Express Airport"
"","Dunsmuir Municipal-Mott Airport"
"KFLO","Florence Regional Airport"
"KTOP","Philip Billard Municipal Airport"
"KMHT","Manchester-Boston Regional Airport"
"KTOR","Torrington Municipal Airport"
"KMHV","Mojave Air and Space Port"
"KMEV","Minden-Tahoe Airport"
"KMER","Castle Airport"
"KFLL","Fort Lauderdale-Hollywood International Airport"
"KMIA","Miami International Airport"
"KFLG","Flagstaff Pulliam Airport"
"KFLD","Fond du Lac County Airport"
"KTPA","Tampa International Airport"
"KFKN","Franklin Municipal-John Beverly Rose Airport"
"KMIB","Minot Air Force Base"
"KTPF","Peter O. Knight Airport"
"KMIC","Crystal Airport"
"KTPH","Tonopah Airport"
"KMQI","Dare County Regional Airport"
"","Roy Hurd Memorial Airport"
"KFKL","Venango Regional Airport (Chess Lamberton Field)"
"KTPL","Draughon-Miller Central Texas Regional Airport"
"KMEM","Memphis International Airport"
"KGKJ","Port Meadville Airport"
"KMEI","Meridian Regional Airport (Key Field)"
"KFOM","Fillmore Municipal Airport"
"","Elizabeth Field"
"KMIO","Miami Municipal Airport"
"KMLE","Millard Airport"
"KMIT","Shafter Airport (Minter Field)"
"KMIV","Millville Municipal Airport"
"KFHU","Sierra Vista Municipal Airport (Libby Army Airfield)"
"KMIW","Marshalltown Municipal Airport"
"KFFT","Capital City Airport"
"KMDT","Harrisburg International Airport"
"PAMD","Middleton Island Airport"
"KFFO","Wright-Patterson Air Force Base"
"","Madras Municipal Airport"
"KMJQ","Jackson Municipal Airport"
"","Trona Airport"
"KTRI","Tri-Cities Regional Airport"
"KFFM","Fergus Falls Municipal Airport (Einar Mickelson Field)"
"KTRL","Terrell Municipal Airport"
"KTRM","Jacqueline Cochran Regional Airport"
"KFFL","Fairfield Municipal Airport"
"KFFA","First Flight Airport"
"KMDH","Southern Illinois Airport"
"KMDZ","Taylor County Airport"
"KFET","Fremont Municipal Airport"
"KMDD","Midland Airpark"
"KFEP","Albertus Airport"
"KMJX","Robert J. Miller Air Park (Ocean County Airport)"
"KTRX","Trenton Municipal Airport"
"KMCW","Mason City Municipal Airport"
"KMKC","Charles B. Wheeler Downtown Airport"
"KMKE","General Mitchell International Airport"
"KMKG","Muskegon County Airport"
"KMCO","Orlando International Airport"
"KFDY","Findlay Airport"
"","Tanacross Airport"
"KFDR","Frederick Regional Airport"
"KFDK","Frederick Municipal Airport"
"PHMK","Molokai Airport"
"KSKX","Taos Regional Airport"
"KMKL","McKellar-Sipes Regional Airport"
"KTSP","Tehachapi Municipal Airport"
"KMKO","Davis Field"
"KMCN","Middle Georgia Regional Airport"
"PAIN","McKinley National Park Airport"
"KMCK","McCook Ben Nelson Regional Airport"
"KFCY","Forrest City Municipal Airport"
"KFCS","Butts Army Airfield (Fort Carson)"
"KMKT","Mankato Regional Airport"
"KMCI","Kansas City International Airport"
"KFCM","Flying Cloud Airport"
"KFCH","Fresno Chandler Executive Airport"
"KTTD","Portland-Troutdale Airport"
"KGPI","Glacier Park International Airport"
"PAMC","McGrath Airport"
"KMCF","MacDill Air Force Base"
"KFBY","Fairbury Municipal Airport"
"","Friday Harbor Seaplane Base"
"KFBR","Fort Bridger Airport"
"KTTN","Trenton-Mercer Airport"
"KBTN","Britton Municipal Airport"
"KFBL","Faribault Municipal Airport"
"KMCE","Merced Regional Airport (MacReady Field)"
"KMLB","Orlando Melbourne International Airport"
"KMLC","McAlester Regional Airport"
"KMLD","Malad City Airport"
"PAFB","Ladd Army Airfield"
"KFBG","Simmons Army Airfield"
"KMLF","Milford Municipal Airport (Ben and Judy Briscoe Field)"
"KFAY","Fayetteville Regional Airport (Grannis Field)"
"KMCD","Mackinac Island Airport"
"KMCC","McClellan Airfield"
"KMLI","Quad City International Airport"
"KMLJ","Baldwin County Airport"
"KFAT","Fresno Yosemite International Airport"
"","Malta Airport"
"KTUL","Tulsa International Airport"
"KFAR","Hector International Airport"
"PADM","Marshall Don Hunter Sr. Airport"
"KMCB","McComb-Pike County Airport (John E. Lewis Field)"
"KTUP","Tupelo Regional Airport"
"KMBY","Omar N. Bradley Airport"
"KFAM","Farmington Regional Airport"
"KTUS","Tucson International Airport"
"KMLS","Miles City Airport (Frank Wiley Field)"
"KMLT","Millinocket Municipal Airport"
"","False Island Seaplane Base"
"KMLU","Monroe Regional Airport"
"TJFA","Diego Jimenez Torres Airport"
"PAML","Manley Hot Springs Airport"
"KTVC","Cherry Capital Airport"
"KTVF","Thief River Falls Regional Airport"
"KTVI","Thomasville Regional Airport"
"KTVL","Lake Tahoe Airport"
"PAFA","Fairbanks International Airport"
"KFAF","Felker Army Airfield"
"KMBS","MBS International Airport"
"","Twin Hills Airport"
"KMMH","Mammoth Yosemite Airport"
"","Jefferson County International Airport"
"","Taylor Airport"
"KTWF","Magic Valley Regional Airport (Joslin Field)"
"KMMI","McMinn County Airport"
"KMBL","Manistee County Blacker Airport"
"KMML","Southwest Minnesota Regional Airport (Marshall/Ryan Field)"
"","Minute Man Air Field"
"KMBG","Mobridge Municipal Airport"
"KEYW","Key West International Airport"
"KTXK","Texarkana Regional Airport (Webb Field)"
"","Yerington Municipal Airport"
"KMMS","Selfs Airport"
"KMMT","McEntire Joint National Guard Base"
"","Excursion Inlet Seaplane Base"
"KMMU","Morristown Municipal Airport"
"TJMZ","Eugenio Maria de Hostos Airport"
"","Tyonek Airport"
"KMAW","Malden Regional Airport"
"KEWN","Coastal Carolina Regional Airport"
"KMNM","Menominee-Marinette Twin County Airport"
"KEWK","Newton City/County Airport"
"KEWB","New Bedford Regional Airport"
"KEVW","Evanston-Uinta County Burns Field"
"KEVM","Eveleth-Virginia Municipal Airport"
"KTYR","Tyler Pounds Regional Airport"
"KTYS","McGhee Tyson Airport"
"KTYL","Taylor Airport"
"KMNN","Marion Municipal Airport"
"KCFS","Tuscola Area Airport"
"","Minto Al Wright Airport"
"KHEF","Manassas Regional Airport"
"","Ben Bruce Memorial Airpark"
"KMOB","Mobile Regional Airport"
"KMAF","Midland International Air and Space Port"
"KMOD","Modesto City-County Airport (Harry Sham Field)"
"KMAE","Madera Municipal Airport"
"KMAC","Macon Downtown Airport"
"KLZU","Gwinnett County Airport (Briscoe Field)"
"KEUG","Eugene Airport (Mahlon Sweet Airport)"
"KEUF","Weedon Field"
"KMOP","Mount Pleasant Municipal Airport"
"KMGR","Moultrie Municipal Airport"
"","Eureka Airport"
"KMOR","Morristown Regional Airport (Moore-Murrell Airport)"
"KEDN","Enterprise Municipal Airport"
"KETN","Eastland Municipal Airport"
"","Moses Point Airport"
"KUBS","Columbus-Lowndes County Airport"
"KETB","West Bend Municipal Airport"
"KESW","Easton State Airport"
"KMOT","Minot International Airport"
"KUCC","Yucca Airstrip"
"","Eunice Airport"
"PAMO","Mountain Village Airport"
"KMOX","Morris Municipal Airport"
"","Miami Seaplane Base"
"KUCY","Everett-Stewart Regional Airport"
"KEST","Estherville Municipal Airport"
"KUDD","Bermuda Dunes Airport"
"KMPJ","Petit Jean Park Airport"
"","StroudsburgPocono Airport"
"KELO","Ely Municipal Airport"
"","Ohkay Owingeh Airport"
"KESN","Easton Airport (Newnam Field)"
"KMPO","Pocono Mountains Municipal Airport"
"KMPR","McPherson Airport"
"KOSA","Mount Pleasant Regional Airport"
"KMPV","Edward F. Knapp State Airport"
"KUES","Waukesha County Airport (Crites Field)"
"KMPZ","Mount Pleasant Municipal Airport"
"KLYO","Lyons-Rice County Municipal Airport"
"KMQB","Macomb Municipal Airport"
"","Ugashik Bay Airport"
"","San Juan (Uganik) Seaplane Base"
"KUGN","Waukegan National Airport"
"KLYH","Lynchburg Regional Airport (Preston Glenn Field)"
"","Ugashik Airport"
"KESF","Esler Airfield (Esler Regional Airport)"
"KLXV","Lake County Airport"
"KORS","Orcas Island Airport"
"KSAW","Sawyer International Airport"
"KUIL","Quillayute Airport"
"KUIN","Quincy Regional Airport (Baldwin Field)"
"KESC","Delta County Airport"
"KLXN","Jim Kelly Field"
"KMQW","Telfair-Wheeler Airport"
"KMQY","Smyrna Airport"
"KLWV","Lawrenceville-Vincennes International Airport"
"KMRB","Eastern WV Regional Airport (Shepherd Field)"
"KMRC","Maury County Airport"
"KMFR","Rogue Valley International-Medford Airport"
"KERV","Kerrville Municipal Airport (Louis Schreiner Field)"
"KMRF","Marfa Municipal Airport"
"KUKI","Ukiah Municipal Airport"
"KLWT","Lewistown Municipal Airport"
"","Waukon Municipal Airport"
"PAMR","Merrill Field"
"KUKT","Quakertown Airport"
"KLWS","Lewiston-Nez Perce County Airport"
"KMKY","Marco Island Airport"
"KMRN","Foothills Regional Airport (was Morganton-Lenoir Airport)"
"KLWM","Lawrence Municipal Airport"
"KLWL","Wells Municipal Airport (Harriet Field)"
"KULM","New Ulm Municipal Airport"
"KLWC","Lawrence Municipal Airport"
"KLWB","Greenbrier Valley Airport"
"KMRY","Monterey Regional Airport"
"KERR","Errol Airport"
"KLVS","Las Vegas Municipal Airport"
"KLVM","Mission Field"
"KFFZ","Falcon Field Airport"
"","Mount Pleasant Airport"
"KERI","Erie International Airport (Tom Ridge Field)"
"KLVL","Lawrenceville/Brunswick Municipal Airport"
"KMSL","Northwest Alabama Regional Airport"
"KLVK","Livermore Municipal Airport"
"PAST","Summit Airport"
"KMSN","Dane County Regional Airport (Truax Field)"
"KMSO","Missoula International Airport"
"PAUM","Umiat Airport"
"KMSP","Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field)"
"KMSS","Massena International Airport (Richards Field)"
"KMSV","Sullivan County International Airport"
"","Lime Village Airport"
"KMSY","Louis Armstrong New Orleans International Airport"
"PALU","Cape Lisburne LRRS Airport"
"PAUN","Unalakleet Airport"
"KMTC","Selfridge Air National Guard Base"
"PHLU","Kalaupapa Airport"
"KUNU","Dodge County Airport"
"KUOS","Franklin County Airport"
"KUOX","University-Oxford Airport"
"KEPH","Ephrata Municipal Airport"
"","Browns Airport"
"KLUL","Hesler-Noble Field"
"PHUP","Upolu Airport"
"KEOS","Neosho Hugh Robinson Airport"
"KLUK","Cincinnati Municipal Airport (Lunken Field)"
"KEOK","Keokuk Municipal Airport"
"KENW","Kenosha Regional Airport"
"KENV","Wendover Airport"
"KMTH","Florida Keys Marathon Airport"
"KLUF","Luke Air Force Base"
"KMTJ","Montrose Regional Airport"
"PAMM","Metlakatla Seaplane Base"
"KMTN","Martin State Airport"
"PANN","Nenana Municipal Airport"
"KMTO","Coles County Memorial Airport"
"KMTP","Montauk Airport"
"KMTW","Manitowoc County Airport"
"KENL","Centralia Municipal Airport"
"KJQF","Concord Regional Airport"
"","Union County Airport/Troy Shelton Field"
"PABK","Metro Field"
"KEND","Vance Air Force Base"
"","St. Mary's County Regional Airport (Captain Walter Francis Duke Regional Airport)"
"PAEN","Kenai Municipal Airport"
"KLTS","Altus Air Force Base"
"PHMU","Waimea-Kohala Airport"
"KMUI","Muir Army Airfield"
"KMUL","Spence Airport"
"KEMT","San Gabriel Valley Airport"
"KSGJ","Northeast Florida Regional Airport"
"KMUO","Mountain Home Air Force Base"
"KEMP","Emporia Municipal Airport"
"KMUT","Muscatine Municipal Airport"
"KLSV","Nellis Air Force Base"
"KLSN","Los Banos Municipal Airport"
"KMVC","Monroe County Airport"
"KEMM","Kemmerer Municipal Airport"
"KMVE","Montevideo-Chippewa County Airport"
"KUTA","Tunica Municipal Airport"
"PAIM","Indian Mountain LRRS Airport"
"KLSK","Lusk Municipal Airport"
"KLSF","Lawson Army Airfield"
"KMVL","Morrisville-Stowe State Airport"
"","Kayenta Airport"
"KMVN","Mount Vernon Airport"
"KLSE","La Crosse Regional Airport"
"PAKU","Ugnu-Kuparuk Airport"
"KLSB","Lordsburg Municipal Airport"
"KLRU","Las Cruces International Airport"
"KUVA","Garner Field"
"KBVS","Skagit Regional Airport"
"KMVY","Martha's Vineyard Airport"
"PAEM","Emmonak Airport"
"","Ware Airport"
"KMWA","Williamson County Regional Airport"
"KELZ","Wellsville Municipal Airport (Tarantine Field)"
"KLRJ","Le Mars Municipal Airport"
"KELY","Ely Airport"
"KMWC","Lawrence J. Timmerman Airport"
"","Ellamar Seaplane Base"
"PAEL","Elfin Cove Seaplane Base"
"KVAD","Moody Air Force Base"
"KMWH","Grant County International Airport"
"KELP","El Paso International Airport"
"KMWL","Mineral Wells Airport"
"PAVA","Chevak Airport"
"KELN","Bowers Field"
"KMWM","Windom Municipal Airport"
"KMWO","Middletown Regional Airport (Hook Field)"
"KLRF","Little Rock Air Force Base"
"KELM","Elmira/Corning Regional Airport"
"KLRD","Laredo International Airport"
"KMXA","Manila Municipal Airport"
"KELK","Elk City Regional Business Airport"
"","Monticello Airport"
"KLQK","Pickens County Airport"
"KMEB","Laurinburg-Maxton Airport"
"KVBG","Vandenberg Air Force Base"
"KMXF","Maxwell Air Force Base"
"PFEL","Elim Airport"
"","Marlboro Airport"
"KMXO","Monticello Regional Airport"
"","Fishermans Bay/LPS Seaplane Base"
"KELD","South Arkansas Regional Airport at Goodwin Field"
"KELA","Eagle Lake Airport"
"KEKX","Elizabethtown Regional Airport (Addington Field)"
"KVCT","Victoria Regional Airport"
"KVCV","Southern California Logistics Airport"
"PAMX","McCarthy Airport"
"KMYF","Montgomery Field Airport"
"KLPC","Lompoc Airport"
"KEKO","Elko Regional Airport"
"KVDI","Vidalia Regional Airport"
"KEKN","Elkins-Randolph County Airport"
"","Marble Canyon Airport"
"KLOZ","London-Corbin Airport (Magee Field)"
"PAVD","Valdez Airport (Pioneer Field)"
"PAVE","Venetie Airport"
"KVEL","Vernal Regional Airport"
"KLKU","Louisa County Airport (Freeman Field)"
"","May Creek Airport"
"","Tioga Municipal Airport"
"KEKA","Murray Field"
"KMYL","McCall Municipal Airport"
"KLOU","Bowman Field"
"KLOT","Lewis University Airport"
"KVGT","North Las Vegas Airport"
"KMYR","Myrtle Beach International Airport"
"PAEI","Eielson Air Force Base"
"PAMY","Mekoryuk Airport"
"KVHN","Culberson County Airport"
"KMYV","Yuba County Airport"
"KMZJ","Pinal Airpark"
"KLOL","Derby Field"
"PHNY","Lanai Airport"
"KLNS","Lancaster Airport"
"PAEH","Cape Newenham LRRS Airport"
"PAII","Egegik Airport"
"KVIH","Rolla National Airport"
"KLNR","Tri-County Regional Airport"
"KLNP","Lonesome Pine Airport"
"KLNN","Lost Nation Airport"
"KVIS","Visalia Municipal Airport"
"KEGV","Eagle River Union Airport"
"KLNK","Lincoln Airport"
"PALN","Point Lonely Short Range Radar Site"
"","Maverick County Memorial International Airport"
"KLND","Hunt Field"
"KLNA","Palm Beach County Park Airport"
"KVJI","Virginia Highlands Airport"
"KLMT","Klamath Falls Airport"
"KLMS","Louisville Winston County Airport"
"KVKS","Vicksburg Municipal Airport"
"KNBG","NAS JRB New Orleans (Alvin Callender Field)"
"KVLA","Vandalia Municipal Airport"
"","Aransas National Wildlife Refuge Airport"
"KVLD","Valdosta Regional Airport"
"","Valle Airport"
"PAMH","Lake Minchumina Airport"
"KVAY","South Jersey Regional Airport"
"KEGI","Duke Field (Eglin Auxiliary Field 3)"
"KEGE","Eagle County Regional Airport"
"KEFW","Jefferson Municipal Airport"
"KEFK","Newport State Airport"
"KCDA","Caledonia County Airport"
"PFCB","Chenega Bay Airport"
"KEFD","Ellington Field"
"KOQU","Quonset State Airport"
"KLKV","Lake County Airport"
"KLKP","Lake Placid Airport"
"KVNC","Venice Municipal Airport"
"KEEN","Dillant-Hopkins Airport"
"KMGJ","Orange County Airport"
"PAEE","Eek Airport"
"KEED","Needles Airport"
"PAKL","Kulik Lake Airport"
"","Kenmore Air Harbor Seaplane Base (Seattle Lake Union SPB)"
"KVNY","Van Nuys Airport"
"KEDW","Edwards Air Force Base"
"KLBX","Texas Gulf Coast Regional Airport"
"","Loring International Airport"
"KLHW","MidCoast Regional Airport at Wright Army Airfield"
"KVOK","Volk Field Air National Guard Base"
"KEQA","Captain Jack Thomas/El Dorado Airport"
"PAED","Elmendorf Air Force Base"
"KNEL","NAES Lakehurst (Maxfield Field)"
"KEDE","Northeastern Regional Airport"
"KNEN","NOLF Whitehouse"
"KVPS","Destin-Fort Walton Beach Airport / Eglin Air Force Base"
"KNEW","Lakefront Airport"
"","Edna Bay Seaplane Base"
"KVQQ","Cecil Airport"
"TJVQ","Antonio Rivera Rodriguez Airport"
"KECS","Mondell Field"
"KVRB","Vero Beach Regional Airport"
"KNFL","NAS Fallon (Van Voorhis Field)"
"","Livengood Camp Airport"
"KECP","Northwest Florida Beaches International Airport"
"KLIT","Clinton National Airport (Adams Field)"
"PHNG","MCAS Kaneohe Bay"
"KECG","Elizabeth City Regional Airport"
"","Roy Otten Memorial Airfield"
"KNGP","NAS Corpus Christi (Truax Field)"
"PHLI","Lihue Airport"
"KVSF","Hartness State Airport"
"KNGU","NS Norfolk (Chambers Field)"
"KNGW","NOLF Cabaniss Field"
"","Iosco County Airport"
"KLIC","Limon Municipal Airport"
"KEBS","Webster City Municipal Airport"
"KNHK","NAS Patuxent River (Trapnell Field)"
"KLHV","William T. Piper Memorial Airport"
"KVTN","Miller Field"
"KNBJ","NOLF Barin"
"KBXM","Brunswick Executive Airport"
"PAFS","Nikolai Airport"
"","Ninilchik Airport"
"KNIP","NAS Jacksonville (Towers Field)"
"","Chase Field Industrial Complex"
"KEAU","Chippewa Valley Regional Airport"
"KEAT","Pangborn Memorial Airport"
"KLGU","Logan-Cache Airport"
"KNJK","NAF El Centro"
"KLGF","Laguna Army Airfield"
"KEAR","Kearney Regional Airport"
"KLGD","La Grande/Union County Airport"
"KEAN","Phifer Airfield"
"","Naukati Bay Seaplane Base"
"KLGC","LaGrange Callaway Airport"
"KVYS","Illinois Valley Regional Airport (Walter A. Duncan Field)"
"PAIW","Wales Airport"
"KLGB","Long Beach Airport"
"KNKX","MCAS Miramar"
"KNLC","NAS Lemoore (Reeves Field)"
"KBWP","Harry Stern Airport"
"","Jerry Tyler Memorial Airport"
"KLFT","Lafayette Regional Airport"
"KWAL","Wallops Flight Facility"
"PAOU","Nelson Lagoon Airport"
"KLHZ","Triangle North Executive Airport (Franklin County Airport)"
"","Kneeland Airport"
"KLFK","Angelina County Airport"
"KLFI","Langley Air Force Base"
"KLEX","Blue Grass Airport"
"PAGT","Nightmute Airport"
"KWAY","Greene County Airport"
"KLEW","Auburn/Lewiston Municipal Airport"
"","Stebbins Airport"
"KLEM","Lemmon Municipal Airport"
"","Naknek Airport"
"","West Branch Community Airport"
"PANO","Nondalton Airport"
"KLEE","Leesburg International Airport"
"PAWB","Beaver Airport"
"KRQB","Roben-Hood Airport"
"KBDU","Boulder Municipal Airport"
"KWBW","Wilkes-Barre Wyoming Valley Airport"
"KLEB","Lebanon Municipal Airport"
"KDYS","Dyess Air Force Base"
"PALR","Chandalar Lake Airport"
"KWDG","Enid Woodring Regional Airport"
"KLDM","Mason County Airport"
"KLDJ","Linden Airport"
"","Waldronaire Airport"
"KWDR","Barrow County Airport"
"KDYL","Doylestown Airport"
"KWEA","Parker County Airport"
"KDXR","Danbury Municipal Airport"
"KMBO","Bruce Campbell Field"
"KDVO","Marin County Airport (Gnoss Field)"
"KDWH","David Wayne Hooks Memorial Airport"
"","Ketchikan Harbor Seaplane Base"
"KNPA","NAS Pensacola (Forrest Sherman Field)"
"KFVE","Northern Aroostook Regional Airport"
"","Nephi Municipal Airport"
"KLCQ","Lake City Gateway Airport"
"KLCK","Rickenbacker International Airport"
"KDVT","Phoenix Deer Valley Airport"
"KOKV","Winchester Regional Airport"
"KUUU","Newport State Airport"
"KDVN","Davenport Municipal Airport"
"","Hyder Seaplane Base"
"KNQA","Millington Regional Jetport"
"KNQI","NAS Kingsville"
"KDVL","Devils Lake Regional Airport (Devils Lake Municipal Airport)"
"KLCI","Laconia Municipal Airport"
"KWHP","Whiteman Airport"
"KLCH","Lake Charles Regional Airport"
"KARM","Wharton Regional Airport"
"PADU","Unalaska Airport"
"KNQX","NAS Key West (Boca Chica Field)"
"KNRB","NS Mayport (Admiral David L. McDonald Field)"
"KDUJ","DuBois Regional Airport"
"KDUG","Bisbee Douglas International Airport"
"KNRC","NASA Crows Landing Airport"
"","Pine Island Airport"
"KLBT","Lumberton Municipal Airport"
"KWJF","General William J. Fox Airfield"
"KLBL","Liberal Mid-America Regional Airport"
"","Grand Lake Regional Airport"
"KLBF","North Platte Regional Airport (Lee Bird Field)"
"KLBE","Arnold Palmer Regional Airport"
"KDUC","Halliburton Field"
"","Aleknagik Airport"
"","Waikoloa Heliport"
"KDUA","Durant Regional Airport-Eaker Field"
"KWLD","Strother Field"
"","Decatur Shores Airport"
"TJRV","Jose Aponte de la Torre Airport"
"PASK","Selawik Airport"
"KDTN","Shreveport Downtown Airport"
"KDTL","Detroit Lakes Airport (Wething Field)"
"","Furnace Creek Airport"
"","Loring Seaplane Base"
"KWLW","Willows-Glenn County Airport"
"KNRS","NOLF Imperial Beach (Ream Field)"
"KLBB","Lubbock Preston Smith International Airport"
"KWMC","Winnemucca Municipal Airport"
"KNSE","NAS Whiting Field - North"
"KDTA","Delta Municipal Airport"
"KBPK","Ozark Regional Airport"
"KLAX","Los Angeles International Airport"
